Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development,Mesh Type
Acinonyx Jubatus,Acinonyx_jubatus,Acinonyx jubatus,Laurasiatheria,Carnivora,Felidae,AMNH,FM 145071,Morphosource,Extant,Recent,Terrestrial,Carnivore,Open,Solitary,Diurnal,Altricial,Open 
Acratocnus Odontrigonus,Acratocnus_odontrigonus,Acratocnus odontrigonus,Xenarthra,Pilosa,Megalonychidae,AMNH,FM 17721,Morphosource,Extinct,Pleistocene,Terrestrial,Herbivore,,,,,Closed 
Adapis Magnus,Adapis_magnus,Adapis magnus,Euarchontaglires,Primates,Adapidae,MNHN.F,QU10875,Phenome10K,Extinct,Eocene,Arboreal,Herbivore,,,,,Closed 
Adinotherium Ovinum,Adinotherium_ovinum,Adinotherium ovinum,Laurasiatheria,Notoungulata,Toxodontidae,MLP,12 Feb,,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Aelurocyon Sp,Aelurocyon_sp,Aelurocyon sp,Laurasiatheria,Carnivora,Mustelidae,AMNH,F:AM 25430,Morphosource,Extinct,Oligocene,Terrestrial,Carnivore,,,,,Closed 
Aepyceros Melampus,Aepyceros_melampus,Aepyceros melampus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1966.448,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Closed 
Aetiocetus Cotylalveus,Aetiocetus_cotylalveus,Aetiocetus cotylalveus,Laurasiatheria,Cetacea,Aetiocetidae,USNM,25210,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,,,,,Closed 
Agriochoerus Sp,Agriochoerus_sp,Agriochoerus sp,Laurasiatheria,Artiodactyla,Agriochoeridae,AMNH,F:AM 95330,Morphosource,Extinct,Oligocene,Semi-arboreal,Herbivore,,,,,Closed 
Ailuropoda Melanoleuca,Ailuropoda_melanoleuca,Ailuropoda melanoleuca,Laurasiatheria,Carnivora,Ursidae,MNHN-ZO-AC,1874-273,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Ailurus Fulgens,Ailurus_fulgens,Ailurus fulgens,Laurasiatheria,Carnivora,Ailuridae,MNHN-ZO-AC,1960_85,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Aletomeryx Scotti,Aletomeryx_scotti,Aletomeryx scotti,Laurasiatheria,Artiodactyla,Palaeomerycidae,AMNH,F:AM 99947,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Allodesmus Gracilis,Allodesmus_gracilis,Allodesmus kernensis,Laurasiatheria,Carnivora,Desmatophocidae,LACM,138167,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,,,,,Closed 
Alouatta Palliata,Alouatta_palliata,Alouatta palliata,Euarchontaglires,Primates,Atelidae,NHMUK ZD,1903.3.1.6,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Amblysomus Sp,Amblysomus_hottentotus,Amblysomus sp,Afrotheria,Afrosoricida,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Fossorial,Invertivore,Mixed terrestrial,Solitary,Nocturnal,Altricial,Closed 
Anchitherium Agatensis,Anchitherium_agalensis,Anchitherium agatensis,Laurasiatheria,Perissodactyla,Equidae,FMNH,P12147,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Anomalurus Jacksoni,Anomalurus_beecrofti,Anomalurus beecrofti,Euarchontaglires,Rodentia,Anomaluridae,NHMUK ZD,1930.11.11.261,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial,Closed 
Anoplotherium Commune,Anoplotherium_commune,Anoplotherium commune,Laurasiatheria,Artiodactyla,Anoplotheriidae,MNHN.F,QU399,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
