Order,Order_colour,Order_shape,order_color_2,order_color3,ordershape
Acreodi,#0099CC,,#CC6677,#ff6db6,23
Afrosoricida,#FFA07A,,#CC6677,#b6dbff,21
Amblypoda,#33FFFF,,#332288,#ffb6db,23
Artiodactyla,#6495ED,1F404,#DDCC77,#490092,23
Astrapotheria,#820082,,#DDCC77,#b6dbff,23
Carnivora,#00BFFF,,#332288,#ff6db6,23
Cetacea,#0000FF,1F40E,#117733,#006ddb,23
Chiroptera,#00008B,-0x1fF987,#AA4499,#004949,23
Cimolesta,#666666,,#332288,#ff6db6,25
Cingulata,#FFD700,,#CC6677,#b6dbff,24
Creodonta,#87CEFA,,#CC6677,#924900,23
Dermoptera,#6B8E23,,#88CCEE,#24ff24,22
Desmostylia,#7F0000,,#882255,#006ddb,21
Embrithopoda,#DC143C,,#999933,#6db6ff,21
Eulipotyphla,#C9C9FF,,#999933,#009292,23
Hyracoidea,#FF4500,,#117733,#ffb6db,21
Lagomorpha,#3CB371,-0x1F407,#117733,#db6d00,22
Leptictida,#999999,,#DDCC77,#db6d00,25
Litopterna,#8A2BE2,,#CC6677,#db6d00,23
Macroscelidea,#FA8072,,#332288,#009292,21
Notoungulata,#4B0082,,#332288,#6db6ff,23
Perissodactyla,#7B68EE,1F40E,#88CCEE,#24ff24,23
Pholidota,#87CEEB,,#DDCC77,#920000,23
Pilosa,#FFA500,,#332288,#920000,24
Primates,#556B2F,,#332288,#ffff6d,22
Proboscidea,#FF0000,-0x1F418,#88CCEE,#490092,21
Rodentia,#90EE90,-0x1F42D,#DDCC77,#924900,22
Scandentia,#2E8B57,,#CC6677,#b6dbff,22
Sirenia,#B22222,,#44AA99,#ffff6d,21
Tubulidentata,#CD5C5C,,#DDCC77,#ff6db6,21
Zalambdalestidae,#000000,,#CC6677,#009292,25
